1,1,merylpor,Start,00:00:00
2,1,merylpor,Success,00:40:00
3,2,janiecee,Start,00:00:00
4,2,janiecee,Failure,00:40:00
5,3,peggiesh,Start,00:00:00
6,3,peggiesh,Success,00:40:00
7,4,charisho,Start,00:00:00
8,4,charisho,Success,00:40:00
9,6,shoredim,Start,00:00:00
10,6,shoredim,Success,00:40:00
11,7,charlesl,Start,00:00:00
12,7,charlesl,Success,01:00:00
13,8,starkill,Start,00:00:00
14,8,starkill,Success,01:00:00
15,9,shoredim,Start,00:00:00
16,9,shoredim,Success,01:00:00
17,10,peggiesh,Start,00:00:00
18,10,peggiesh,Success,01:00:00
19,11,charisho,Start,00:00:00
20,11,charisho,Success,01:00:00
21,5,starkill,Start,00:00:00
22,5,starkill,Success,01:00:00
23,12,janiecee,Start,00:00:00
24,12,janiecee,Success,01:00:00
25,13,shoredim,Start,00:00:00
26,13,shoredim,Success,01:00:00
27,14,peggiesh,Start,02:00:00
28,14,peggiesh,Success,03:00:00
29,15,charlesl,Start,05:00:00
30,15,charlesl,Success,06:00:00
31,16,merylpor,Start,11:30:00
32,16,merylpor,Success,12:30:00
